Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.21661
0.10000,0.03312,-0.20672
0.20000,0.07875,-0.20311
0.30000,0.12208,-0.19826
0.40000,0.16479,-0.19385
0.50000,0.20708,-0.18914
0.60000,0.24854,-0.18792
0.70000,0.29083,-0.18105
0.80000,0.33292,-0.17546
0.90000,0.37479,-0.17281
1.00000,0.41667,-0.16913
1.10000,0.45750,-0.16525
1.20000,0.50000,-0.15797
1.30000,0.54229,-0.15349
1.40000,0.58396,-0.14499
1.50000,0.62542,-0.14806
1.60000,0.66625,-0.14248
1.70000,0.70854,-0.13775
1.80000,0.75021,-0.13032
1.90000,0.79229,-0.12823
2.00000,0.83375,-0.12439
2.10000,0.87437,-0.11869
2.20000,0.91667,-0.11278
2.30000,0.95896,-0.10973
2.40000,1.00021,-0.09985
2.50000,1.04125,-0.09621
2.60000,1.08271,-0.09535
2.70000,1.12437,-0.08595
2.80000,1.16646,-0.07908
2.90000,1.20833,-0.07508
3.00000,1.25000,-0.06959
3.10000,1.29083,-0.06361
3.20000,1.33333,-0.05259
3.30000,1.37541,-0.04571
3.40000,1.41729,-0.04010
3.50000,1.45875,-0.03348
3.60000,1.50000,-0.03159
3.70000,1.54166,-0.01857
3.80000,1.58375,-0.01379
3.90000,1.62541,-0.00565
4.00000,1.66708,-0.00157
4.10000,1.70833,0.00534
4.20000,1.74979,0.01376
4.30000,1.79208,0.02177
4.40000,1.83375,0.02967
4.50000,1.87479,0.03938
4.60000,1.91604,0.04619
4.70000,1.95791,0.06090
4.80000,1.99979,0.06585
4.90000,2.04166,0.07028
5.00000,2.08333,0.08321
5.10000,2.12437,0.08545
5.20000,2.16687,0.10280
5.30000,2.20895,0.10552
5.40000,2.25083,0.11902
5.50000,2.29208,0.12498
5.60000,2.33333,0.13061
5.70000,2.37541,0.14265
5.80000,2.41750,0.15154
5.90000,2.45895,0.15923
6.00000,2.50041,0.16516
6.10000,2.54145,0.17656
6.20000,2.58250,0.18719
6.30000,2.62500,0.19350
6.40000,2.66687,0.20413
6.50000,2.70833,0.21222
6.60000,2.74958,0.22254
6.70000,2.79145,0.23507
6.80000,2.83312,0.24197
6.90000,2.87500,0.25227
7.00000,2.91645,0.25980
7.10000,2.95749,0.26894
7.20000,2.99999,0.28126
7.30000,3.04249,0.28901
7.40000,3.08416,0.29851
7.50000,3.12541,0.30594
7.60000,3.16645,0.31170
7.70000,3.20874,0.32312
7.80000,3.25062,0.32771
7.90000,3.29249,0.34262
8.00000,3.33354,0.34843
8.10000,3.37479,0.35436
8.20000,3.41645,0.36288
8.30000,3.45854,0.37542
8.40000,3.50020,0.38433
8.50000,3.54145,0.39313
8.60000,3.58249,0.39865
8.70000,3.62395,0.41113
8.80000,3.66604,0.41645
8.90000,3.70812,0.42554
9.00000,3.74916,0.43605
9.10000,3.79083,0.44458
9.20000,3.83291,0.45195
9.30000,3.87541,0.46119
9.40000,3.91728,0.47217
9.50000,3.95895,0.47985
9.60000,4.00020,0.48542
9.70000,4.04145,0.49388
9.80000,4.08374,0.50108
9.90000,4.12603,0.51275
10.00000,4.16728,0.51375
10.10000,4.20812,0.52269
10.20000,4.24999,0.53202
10.30000,4.29228,0.54073
10.40000,4.33353,0.54958
10.50000,4.37478,0.55680
10.60000,4.41624,0.56524
10.70000,4.45770,0.57308
10.80000,4.49978,0.58167
10.90000,4.54145,0.58898
11.00000,4.58291,0.59742
11.10000,4.62458,0.60502
11.20000,4.66624,0.61492
11.30000,4.70874,0.62404
11.40000,4.75062,0.63104
11.50000,4.79208,0.63306
11.60000,4.83291,0.64017
11.70000,4.87541,0.65190
11.80000,4.91749,0.66100
11.90000,4.95937,0.66695
12.00000,5.00041,0.67150
12.10000,5.04124,0.67742
12.20000,5.08332,0.68836
12.30000,5.12541,0.69276
12.40000,5.16603,0.70315
12.50000,5.20791,0.71117
12.60000,5.24937,0.72037
12.70000,5.29124,0.72930
12.80000,5.33332,0.73446
12.90000,5.37520,0.74016
13.00000,5.41603,0.74912
13.10000,5.45749,0.75416
13.20000,5.49978,0.76583
13.30000,5.54207,0.77141
13.40000,5.58395,0.77745
13.50000,5.62520,0.78501
13.60000,5.66624,0.78904
13.70000,5.70853,0.79908
13.80000,5.75062,0.80515
13.90000,5.79270,0.81510
14.00000,5.83374,0.81737
14.10000,5.87478,0.82331
14.20000,5.91624,0.83078
14.30000,5.95853,0.83576
14.40000,6.00020,0.84449
14.50000,6.04103,0.85552
14.60000,6.08228,0.85500
14.70000,6.12436,0.86592
14.80000,6.16666,0.87165
14.90000,6.20853,0.87969
15.00000,6.24957,0.88345
15.10000,6.29082,0.89075
15.20000,6.33332,0.89929
15.30000,6.37541,0.90677
15.40000,6.41707,0.91114
15.50000,6.45853,0.91844
15.60000,6.49978,0.91983
15.70000,6.54166,0.92941
15.80000,6.58416,0.93676
15.90000,6.62582,0.94044
16.00000,6.66728,0.94597
16.10000,6.70811,0.94959
16.20000,6.74978,0.96000
16.30000,6.79186,0.96515
16.40000,6.83332,0.97234
16.50000,6.87457,0.97558
16.60000,6.91603,0.98262
16.70000,6.95707,0.98770
16.80000,6.99957,0.99899
16.90000,7.04145,1.00170
17.00000,7.08311,1.00640
17.10000,7.12436,1.01111
17.20000,7.16686,1.01963
17.30000,7.20895,1.02732
17.40000,7.25061,1.03245
17.50000,7.29207,1.03577
17.60000,7.33311,1.04263
17.70000,7.37499,1.04858
17.80000,7.41749,1.05481
17.90000,7.45915,1.05983
18.00000,7.50020,1.06134
18.10000,7.54124,1.06747
18.20000,7.58290,1.07500
18.30000,7.62520,1.07906
18.40000,7.66686,1.08756
18.50000,7.70811,1.09218
18.60000,7.74936,1.09518
18.70000,7.79124,1.10145
18.80000,7.83353,1.10776
18.90000,7.87478,1.11499
19.00000,7.91624,1.11649
19.10000,7.95769,1.12118
19.20000,7.99957,1.12886
19.30000,8.04207,1.13343
19.40000,8.08394,1.14068
19.50000,8.12519,1.14538
19.60000,8.16644,1.14528
19.70000,8.20832,1.15139
19.80000,8.25061,1.15786
19.90000,8.29269,1.16003
20.00000,8.33394,1.16538
20.10000,8.37478,1.16800
20.20000,8.41624,1.17805
20.30000,8.45853,1.18176
20.40000,8.50019,1.18604
20.50000,8.54144,1.19149
20.60000,8.58269,1.19119
20.70000,8.62457,1.19922
20.80000,8.66665,1.20444
20.90000,8.70811,1.21173
21.00000,8.74936,1.21349
21.10000,8.79082,1.21447
21.20000,8.83332,1.22633
21.30000,8.87561,1.22797
21.40000,8.91707,1.23004
21.50000,8.95832,1.23410
21.60000,8.99957,1.24023
21.70000,9.04186,1.24357
21.80000,9.08415,1.25051
21.90000,9.12582,1.25301
22.00000,9.16686,1.25335
