Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.61100
0.10000,0.03292,-0.57388
0.20000,0.07875,-0.52756
0.30000,0.12208,-0.48209
0.40000,0.16458,-0.43886
0.50000,0.20708,-0.39313
0.60000,0.24854,-0.35232
0.70000,0.29062,-0.30258
0.80000,0.33292,-0.25414
0.90000,0.37479,-0.20999
1.00000,0.41646,-0.16270
1.10000,0.45750,-0.11546
1.20000,0.49979,-0.06486
1.30000,0.54229,-0.01685
1.40000,0.58396,0.03331
1.50000,0.62542,0.07872
1.60000,0.66667,0.12364
1.70000,0.70812,0.17499
1.80000,0.75062,0.22473
1.90000,0.79250,0.27288
2.00000,0.83396,0.32080
2.10000,0.87437,0.36342
2.20000,0.91625,0.40850
2.30000,0.95854,0.45856
2.40000,1.00021,0.50440
2.50000,1.04146,0.54652
2.60000,1.08271,0.59180
2.70000,1.12416,0.63579
2.80000,1.16625,0.68032
2.90000,1.20812,0.72101
3.00000,1.24979,0.76693
3.10000,1.29062,0.80067
3.20000,1.33312,0.84793
3.30000,1.37541,0.88929
3.40000,1.41729,0.92858
3.50000,1.45875,0.96495
3.60000,1.50000,1.00181
3.70000,1.54187,1.04104
3.80000,1.58416,1.08184
3.90000,1.62583,1.11615
4.00000,1.66729,1.15618
4.10000,1.70812,1.18789
4.20000,1.74958,1.22008
4.30000,1.79187,1.25812
4.40000,1.83354,1.29490
4.50000,1.87479,1.32915
4.60000,1.91604,1.36024
4.70000,1.95771,1.39640
4.80000,1.99979,1.42892
4.90000,2.04145,1.45799
5.00000,2.08333,1.49013
5.10000,2.12437,1.51468
5.20000,2.16645,1.55162
5.30000,2.20895,1.58355
5.40000,2.25083,1.61021
5.50000,2.29208,1.63949
5.60000,2.33312,1.66322
5.70000,2.37520,1.69233
5.80000,2.41770,1.72270
5.90000,2.45916,1.74978
6.00000,2.50041,1.77122
6.10000,2.54145,1.79549
6.20000,2.58291,1.82319
6.30000,2.62479,1.84838
6.40000,2.66666,1.87175
6.50000,2.70812,1.89513
6.60000,2.74937,1.91541
6.70000,2.79145,1.94418
6.80000,2.83312,1.96295
6.90000,2.87520,1.98565
7.00000,2.91625,2.00917
7.10000,2.95770,2.02622
7.20000,2.99979,2.05090
7.30000,3.04270,2.07347
7.40000,3.08395,2.09101
7.50000,3.12541,2.10923
7.60000,3.16666,2.12427
7.70000,3.20895,2.14907
7.80000,3.25083,2.16881
7.90000,3.29270,2.18647
8.00000,3.33374,2.20292
8.10000,3.37458,2.22239
8.20000,3.41604,2.23786
8.30000,3.45812,2.25648
8.40000,3.49999,2.27624
8.50000,3.54124,2.28753
8.60000,3.58270,2.30212
8.70000,3.62416,2.32185
8.80000,3.66624,2.34172
8.90000,3.70833,2.35696
9.00000,3.74937,2.36835
9.10000,3.79104,2.38365
9.20000,3.83312,2.40391
9.30000,3.87541,2.42125
9.40000,3.91728,2.43776
9.50000,3.95874,2.45406
9.60000,3.99999,2.46393
9.70000,4.04166,2.48551
9.80000,4.08395,2.50001
9.90000,4.12624,2.51542
10.00000,4.16728,2.53337
10.10000,4.20812,2.54653
10.20000,4.24978,2.56376
10.30000,4.29208,2.57965
10.40000,4.33291,2.59152
10.50000,4.37458,2.60840
10.60000,4.41624,2.62128
10.70000,4.45770,2.64126
10.80000,4.50020,2.65255
10.90000,4.54166,2.66978
11.00000,4.58291,2.68319
11.10000,4.62458,2.69002
11.20000,4.66645,2.71193
11.30000,4.70874,2.72710
11.40000,4.75020,2.73886
11.50000,4.79187,2.75224
11.60000,4.83291,2.76072
11.70000,4.87520,2.77977
11.80000,4.91749,2.78654
11.90000,4.95916,2.79988
12.00000,5.00041,2.81237
12.10000,5.04124,2.81875
12.20000,5.08332,2.83230
12.30000,5.12541,2.84578
12.40000,5.16645,2.85535
12.50000,5.20812,2.86377
12.60000,5.24937,2.86904
12.70000,5.29103,2.88374
12.80000,5.33332,2.89437
12.90000,5.37499,2.90364
13.00000,5.41624,2.91371
13.10000,5.45749,2.92076
13.20000,5.49978,2.93608
13.30000,5.54207,2.94380
13.40000,5.58395,2.95425
13.50000,5.62499,2.96214
13.60000,5.66624,2.96805
13.70000,5.70832,2.98014
13.80000,5.75062,2.98813
13.90000,5.79270,3.00062
14.00000,5.83353,3.00537
14.10000,5.87478,3.01387
14.20000,5.91645,3.02117
14.30000,5.95832,3.03600
14.40000,6.00020,3.04452
14.50000,6.04166,3.05787
14.60000,6.08249,3.06536
14.70000,6.12436,3.08057
14.80000,6.16645,3.09096
14.90000,6.20832,3.10187
15.00000,6.24957,3.11238
15.10000,6.29103,3.11878
15.20000,6.33311,3.13227
15.30000,6.37520,3.14334
15.40000,6.41728,3.15566
15.50000,6.45853,3.16828
15.60000,6.49957,3.17053
15.70000,6.54166,3.18478
15.80000,6.58416,3.19460
15.90000,6.62561,3.20210
16.00000,6.66686,3.21086
16.10000,6.70791,3.21528
16.20000,6.74978,3.22343
16.30000,6.79207,3.23888
16.40000,6.83353,3.24528
16.50000,6.87478,3.25407
16.60000,6.91603,3.25882
16.70000,6.95770,3.27307
16.80000,6.99999,3.28027
16.90000,7.04166,3.29185
17.00000,7.08290,3.30020
17.10000,7.12415,3.30800
17.20000,7.16665,3.32093
17.30000,7.20895,3.32905
17.40000,7.25061,3.33843
17.50000,7.29207,3.34565
17.60000,7.33311,3.34908
17.70000,7.37457,3.35828
17.80000,7.41686,3.36786
17.90000,7.45895,3.37631
18.00000,7.50040,3.38119
18.10000,7.54145,3.38221
18.20000,7.58311,3.38709
18.30000,7.62540,3.39025
18.40000,7.66707,3.39323
18.50000,7.70790,3.39589
18.60000,7.74936,3.39586
18.70000,7.79124,3.40290
18.80000,7.83374,3.40498
18.90000,7.87499,3.40191
19.00000,7.91624,3.40418
19.10000,7.95769,3.39540
19.20000,7.99978,3.40197
19.30000,8.04207,3.40315
19.40000,8.08374,3.40282
19.50000,8.12519,3.40491
19.60000,8.16644,3.40302
19.70000,8.20853,3.40932
19.80000,8.25061,3.41506
19.90000,8.29269,3.42108
20.00000,8.33353,3.42128
20.10000,8.37436,3.42137
20.20000,8.41624,3.43091
20.30000,8.45874,3.43488
20.40000,8.50040,3.44191
20.50000,8.54165,3.44828
20.60000,8.58290,3.44367
20.70000,8.62457,3.45672
20.80000,8.66665,3.46024
20.90000,8.70832,3.46384
21.00000,8.74936,3.46739
21.10000,8.79082,3.47051
21.20000,8.83311,3.48160
21.30000,8.87561,3.48612
21.40000,8.91707,3.49499
21.50000,8.95832,3.50250
21.60000,8.99957,3.50401
21.70000,9.04165,3.51296
21.80000,9.08394,3.52122
21.90000,9.12582,3.53173
22.00000,9.16686,3.53906
22.10000,9.20832,3.54292
22.20000,9.24998,3.54949
22.30000,9.29248,3.56027
22.40000,9.33353,3.56690
22.50000,9.37478,3.56960
22.60000,9.41603,3.57290
22.70000,9.45790,3.58414
22.80000,9.49998,3.59295
22.90000,9.54165,3.59481
23.00000,9.58290,3.60392
23.10000,9.62436,3.60732
23.20000,9.66644,3.61951
23.30000,9.70873,3.62335
23.40000,9.75040,3.63083
23.50000,9.79165,3.63384
23.60000,9.83269,3.63742
23.70000,9.87519,3.64874
23.80000,9.91728,3.65169
23.90000,9.95936,3.66042
24.00000,10.00019,3.66142
24.10000,10.04165,3.66484
24.20000,10.08332,3.67538
24.30000,10.12561,3.68245
24.40000,10.16686,3.68914
24.50000,10.20790,3.69197
24.60000,10.24936,3.69657
24.70000,10.29102,3.70624
24.80000,10.33332,3.71170
24.90000,10.37498,3.72133
25.00000,10.41644,3.72646
25.10000,10.45769,3.72689
25.20000,10.49977,3.73580
25.30000,10.54227,3.74522
25.40000,10.58373,3.75319
25.50000,10.62498,3.75592
25.60000,10.66665,3.76922
25.70000,10.70811,3.77815
25.80000,10.75102,3.78889
25.90000,10.79248,3.79567
26.00000,10.83352,3.80198
26.10000,10.87456,3.80631
26.20000,10.91665,3.82299
26.30000,10.95831,3.83240
26.40000,10.99977,3.83880
26.50000,11.04123,3.84666
26.60000,11.08269,3.85429
26.70000,11.12394,3.86431
26.80000,11.16644,3.87680
26.90000,11.20831,3.89034
27.00000,11.24998,3.89590
27.10000,11.29123,3.90318
27.20000,11.33352,3.91371
27.30000,11.37561,3.93116
27.40000,11.41706,3.93442
27.50000,11.45831,3.94587
27.60000,11.49998,3.95323
27.70000,11.54165,3.96978
27.80000,11.58436,3.97612
