Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.48909
0.10000,0.03333,-0.45977
0.20000,0.07875,-0.42981
0.30000,0.12229,-0.40439
0.40000,0.16500,-0.37975
0.50000,0.20729,-0.34912
0.60000,0.24854,-0.33330
0.70000,0.29062,-0.30604
0.80000,0.33292,-0.27765
0.90000,0.37479,-0.25635
1.00000,0.41667,-0.22476
1.10000,0.45750,-0.19948
1.20000,0.49979,-0.16027
1.30000,0.54229,-0.13176
1.40000,0.58375,-0.10311
1.50000,0.62542,-0.07249
1.60000,0.66646,-0.03704
1.70000,0.70833,-0.00007
1.80000,0.75104,0.03632
1.90000,0.79229,0.07483
2.00000,0.83396,0.10933
2.10000,0.87458,0.14202
2.20000,0.91625,0.18262
2.30000,0.95854,0.21987
2.40000,1.00021,0.25641
2.50000,1.04146,0.29106
2.60000,1.08271,0.32176
2.70000,1.12437,0.36529
2.80000,1.16646,0.39913
2.90000,1.20812,0.43408
3.00000,1.25000,0.47109
3.10000,1.29083,0.49831
3.20000,1.33312,0.54132
3.30000,1.37541,0.57166
3.40000,1.41708,0.60551
3.50000,1.45854,0.63988
3.60000,1.50000,0.67242
3.70000,1.54187,0.70531
3.80000,1.58416,0.73856
3.90000,1.62562,0.76826
4.00000,1.66708,0.80010
4.10000,1.70833,0.83197
4.20000,1.74979,0.86369
4.30000,1.79187,0.89389
4.40000,1.83375,0.92180
4.50000,1.87500,0.95264
4.60000,1.91604,0.97891
4.70000,1.95791,1.01106
4.80000,1.99979,1.03795
4.90000,2.04166,1.06631
5.00000,2.08333,1.09323
5.10000,2.12437,1.11701
5.20000,2.16666,1.14939
5.30000,2.20875,1.17507
5.40000,2.25062,1.20233
5.50000,2.29208,1.23042
5.60000,2.33333,1.24915
5.70000,2.37520,1.28133
5.80000,2.41750,1.30630
5.90000,2.45937,1.33313
6.00000,2.50041,1.35749
6.10000,2.54145,1.37910
6.20000,2.58312,1.40633
6.30000,2.62520,1.43132
6.40000,2.66708,1.45185
6.50000,2.70812,1.47594
6.60000,2.74958,1.49796
6.70000,2.79125,1.51980
6.80000,2.83291,1.54781
6.90000,2.87520,1.57014
7.00000,2.91625,1.58873
7.10000,2.95770,1.61079
7.20000,2.99999,1.63660
7.30000,3.04249,1.65678
